,contrib_affiliation,contrib_gender,core_member,first_pr,inte_affiliation,same_affiliation,at_tag,ci_exists,ci_test_passed,comment_conflict,friday_effect,hash_tag,reopen_or_not,test_inclusion_open,test_inclusion_close,same_user,has_comments,test_inclusion_change
contrib_affiliation,1.0,0.35832917987903257,0.3719849870791963,0.2841413625596729,0.8165538762267811,0.4302994913803052,0.3028230697065774,0.46756160604743385,0.40639025287473146,0.07982184258876102,0.051731668328872465,0.29002296023371676,0.09045038520007855,0.23585251345641978,0.2394224219844168,0.3782913337055528,0.3202389743219875,0.1813493069893141
contrib_gender,0.35832917987903257,0.999997833845314,0.011108894543019181,0.013454156789472503,0.2943586199253679,0.01820270167583258,0.004463541741086244,0.016988424163979974,0.020210718202824603,0.0009553159959978651,0.004198883069397606,0.0036728012711259314,0.0013504300015980994,0.007513972694740251,0.008078994228867913,0.00256540056528711,0.016310906520863862,0.008058607942424988
core_member,0.37198498707919625,0.011108894543019183,0.9999993042761929,0.5232340693200099,0.3239994744224903,0.1436974392602525,0.028326063145728157,0.10160030556982161,0.07512718024774044,0.021045911157623626,0.012539893829647299,0.010553411353583165,0.04104913701029236,0.08006393335361855,0.07655910040926683,0.3396495870991682,0.0837121592104243,0.08036236100021849
first_pr,0.2841413625596729,0.013454156789472503,0.5232340693200099,0.9999987639813468,0.27835618665310863,0.10043669064411112,0.04866301741078665,0.05563388556753225,0.046964996999845694,0.01928622657824042,0.0061576213062689384,0.015315580615249671,0.03509828054740714,0.043236255573113565,0.03672856839555862,0.20532664122444352,0.10551970325576264,0.044012171818743444
inte_affiliation,0.8165538762267811,0.2943586199253679,0.3239994744224903,0.27835618665310863,1.0,0.3796056158741366,0.29601652510854204,0.4808912179049263,0.4203825681694613,0.07411896304669904,0.05218460653762457,0.2748113604617831,0.09530759627599222,0.24440065800532804,0.25263241007593773,0.38540545523346426,0.3051415675641399,0.19119927574377915
same_affiliation,0.4302994913803052,0.01820270167583258,0.1436974392602525,0.10043669064411112,0.3796056158741366,1.0,0.1338200650260954,0.04602134590386455,0.029996119694109785,0.027735122190905553,0.008022305553438736,0.016580830107894472,0.012403776465626525,0.0101329774518484,0.00790926153743205,0.0,0.1329038222123288,0.007735001295680861
at_tag,0.3028230697065774,0.004463541741086245,0.028326063145728157,0.04866301741078665,0.29601652510854204,0.1338200650260954,0.9999990641169002,0.0970847108892941,0.18211516128037514,0.1578807666419953,0.0016416762553788454,0.1746962251246875,0.07040050976170298,0.08410155529618975,0.11370906650294628,0.10150935417630824,0.3697917600782607,0.12593095963377146
ci_exists,0.4675616060474339,0.016988424163979974,0.10160030556982161,0.05563388556753225,0.48089121790492634,0.04602134590386455,0.0970847108892941,0.9999991791645471,0.0,0.015427004400622965,0.0009372489117626966,0.12484381138070007,0.018686254546513677,0.07494749271933747,0.08239843189187257,0.018918015775783868,0.1591031198295868,0.08244661360606403
ci_test_passed,0.40639025287473146,0.0202107182028246,0.07512718024774043,0.046964996999845694,0.4203825681694613,0.02999611969410979,0.18211516128037514,0.0,1.0,0.07618911038323757,0.0017441331242727667,0.17846354585308608,0.08445342239938368,0.13805307958364457,0.182660975613961,0.012350261641791458,0.23385479949985544,0.14343764854849625
comment_conflict,0.07982184258876102,0.0009553159959978651,0.021045911157623626,0.01928622657824042,0.07411896304669904,0.027735122190905553,0.1578807666419953,0.015427004400622965,0.07618911038323757,0.999987013432254,0.0,0.0791285729923744,0.03862907192673897,0.042555998494863384,0.057496679514238126,0.03612084876501608,0.0973019389334547,0.06364251618058948
friday_effect,0.05173166832887245,0.004198883069397606,0.012539893829647299,0.0061576213062689384,0.05218460653762457,0.008022305553438736,0.0016416762553788454,0.0009372489117626966,0.0017441331242727667,0.0,0.9999988975081066,0.004304159421493229,0.0018922524742241871,0.004015452474926686,0.004012754386818409,0.004137164876580593,0.0,0.004059023290828183
hash_tag,0.2900229602337168,0.0036728012711259314,0.010553411353583165,0.015315580615249671,0.2748113604617831,0.016580830107894472,0.1746962251246875,0.12484381138070007,0.17846354585308608,0.0791285729923744,0.004304159421493229,0.9999991001524926,0.02448411355043299,0.07235227052946916,0.08846203433176755,0.04896306105738157,0.1727450002651599,0.09169100181856714
reopen_or_not,0.09045038520007856,0.0013504300015980994,0.04104913701029236,0.03509828054740714,0.09530759627599222,0.012403776465626527,0.07040050976170298,0.018686254546513677,0.08445342239938367,0.03862907192673897,0.0018922524742241871,0.02448411355043299,0.9999897367242173,0.012232433970569112,0.02121480703655048,0.02100891492544795,0.0685038278217974,0.028518383400732875
test_inclusion_open,0.2358525134564198,0.007513972694740252,0.08006393335361855,0.043236255573113565,0.24440065800532804,0.0101329774518484,0.08410155529618975,0.07494749271933747,0.13805307958364457,0.042555998494863384,0.004015452474926686,0.07235227052946916,0.012232433970569112,0.9999989113384069,0.9228923281387562,0.046699129747143776,0.10185130387373767,0.9999998476252586
test_inclusion_close,0.2394224219844168,0.008078994228867913,0.07655910040926683,0.03672856839555862,0.25263241007593773,0.00790926153743205,0.11370906650294628,0.08239843189187257,0.182660975613961,0.057496679514238126,0.004012754386818409,0.08846203433176755,0.02121480703655048,0.9228923281387562,0.9999990176291944,0.04179682231726972,0.12989655651227466,0.9999998476252586
same_user,0.3782913337055528,0.00256540056528711,0.3396495870991682,0.20532664122444355,0.38540545523346426,0.0,0.10150935417630824,0.018918015775783868,0.012350261641791458,0.03612084876501608,0.004137164876580593,0.04896306105738157,0.02100891492544795,0.046699129747143776,0.04179682231726972,0.999999380405312,0.12261774341995403,0.04681873235728447
has_comments,0.3202389743219875,0.016310906520863862,0.0837121592104243,0.10551970325576264,0.3051415675641399,0.1329038222123288,0.3697917600782607,0.1591031198295868,0.23385479949985544,0.0973019389334547,0.0,0.1727450002651599,0.0685038278217974,0.10185130387373767,0.12989655651227466,0.12261774341995403,0.9999993818040664,0.13807700692842326
test_inclusion_change,0.1813493069893141,0.008058607942424988,0.08036236100021849,0.044012171818743444,0.19119927574377915,0.007735001295680861,0.12593095963377146,0.08244661360606402,0.14343764854849622,0.06364251618058948,0.004059023290828183,0.09169100181856714,0.028518383400732875,0.9999998476252586,0.9999998476252586,0.04681873235728447,0.13807700692842326,1.0
